iteration,time,psnr,n
0,4.3640289306640625,17.07363510131836,200000
8,4.632761478424072,21.123201370239258,200000
17,4.91255521774292,24.92690658569336,200000
26,5.184380531311035,28.297801971435547,200000
35,5.451730489730835,30.743215560913086,200000
44,5.750576734542847,32.32571792602539,200000
53,6.033798933029175,33.28301239013672,200000
62,6.317697286605835,33.943809509277344,200000
71,6.601178884506226,34.44081115722656,200000
80,6.900028467178345,34.84086227416992,200000
89,7.183778762817383,35.19407653808594,200000
98,7.482996702194214,35.49761962890625,200000
107,7.76648473739624,35.77798843383789,200000
116,8.066253185272217,36.009422302246094,200000
125,8.364628314971924,36.2175407409668,200000
134,8.663095235824585,36.39916229248047,200000
143,8.961573600769043,36.557472229003906,200000
152,9.26019835472107,36.70974349975586,200000
161,9.558925151824951,36.806087493896484,200000
170,9.891696214675903,36.956947326660156,200000
180,10.238174200057983,37.07112121582031,200000
190,10.569375276565552,37.166908264160156,200000
200,10.899872303009033,37.266136169433594,200000
210,11.230110883712769,37.3350944519043,200000
220,11.559980630874634,37.42363739013672,200000
230,11.906083106994629,37.495872497558594,200000
240,12.235858678817749,37.5721549987793,200000
250,12.581855773925781,37.60739517211914,200000
260,12.912752151489258,37.69172668457031,200000
270,13.258699655532837,37.74113082885742,200000
280,13.604251146316528,37.78176498413086,200000
290,13.935506820678711,37.84574890136719,200000
300,14.282399415969849,37.87181091308594,200000
310,14.629048109054565,37.90559005737305,200000
320,14.974692106246948,37.96757888793945,200000
330,15.335428953170776,38.00794982910156,200000
341,15.713639974594116,38.05228805541992,200000
352,16.091410636901855,38.025306701660156,200000
363,16.468278646469116,38.11843490600586,200000
374,16.84513020515442,38.14845657348633,200000
385,17.207305192947388,38.1634407043457,200000
396,17.584211587905884,38.20452880859375,200000
407,17.961445569992065,38.220001220703125,200000
418,18.338853120803833,38.268226623535156,200000
429,18.715515613555908,38.286651611328125,200000
440,19.09260320663452,38.32445526123047,200000
451,19.454100847244263,38.33797836303711,200000
462,19.862518072128296,38.36936569213867,200000
474,20.286192655563354,38.38337326049805,200000
486,20.694564819335938,38.39487838745117,200000
498,21.103615283966064,38.450809478759766,200000
510,21.512047052383423,38.44281005859375,200000
522,21.935969352722168,38.43610382080078,200000
534,22.330793857574463,38.512298583984375,200000
546,22.756574392318726,38.517372131347656,200000
558,23.180391550064087,38.49174499511719,200000
570,23.60403800010681,38.54473876953125,200000
582,24.0125892162323,38.51877212524414,200000
594,24.46981692314148,38.58915710449219,200000
607,24.910391807556152,38.60820388793945,200000
620,25.365293979644775,38.61033630371094,200000
633,25.805845022201538,38.57612228393555,200000
646,26.26146960258484,38.67947769165039,200000
659,26.7163724899292,38.68212890625,200000
672,27.155571222305298,38.694610595703125,200000
685,27.611221313476562,38.664527893066406,200000
698,28.051307439804077,38.484962463378906,200000
711,28.53736686706543,38.72035598754883,200000
725,29.025826930999756,38.75099563598633,200000
739,29.513383865356445,38.77749252319336,200000
753,30.021767377853394,38.73564147949219,200000
767,30.494630336761475,38.75971603393555,200000
781,30.99857783317566,38.752281188964844,200000
795,31.485467433929443,38.812644958496094,200000
809,32.004979848861694,38.85491180419922,200000
824,32.52346706390381,38.79633712768555,200000
839,33.05778455734253,38.86042785644531,200000
854,33.5757098197937,38.784034729003906,200000
869,34.09454917907715,38.8005485534668,200000
884,34.614744901657104,38.78337097167969,200000
899,35.13441586494446,38.899871826171875,200000
914,35.68579053878784,38.90889358520508,200000
930,36.23594260215759,38.88563537597656,200000
946,36.78700494766235,38.87375259399414,200000
962,37.337855100631714,38.84947967529297,200000
978,37.889556646347046,38.848541259765625,200000
994,38.446967124938965,38.96824645996094,200000
1010,39.02658820152283,39.00010299682617,200000
1027,39.61106038093567,38.926815032958984,200000
1044,40.19450259208679,38.93917465209961,200000
1061,40.77870059013367,39.010780334472656,200000
1078,41.36281871795654,39.05088424682617,200000
1095,41.979471921920776,39.03174591064453,200000
1113,42.61073899269104,38.8405876159668,200000
1131,43.22408962249756,38.973716735839844,200000
1149,43.852991819381714,38.98966598510742,200000
1167,44.4655179977417,39.066375732421875,200000
1185,45.12542462348938,38.98897933959961,200000
1204,45.76911544799805,39.092613220214844,200000
1223,46.43044424057007,39.07678985595703,200000
1242,47.075103759765625,39.066558837890625,200000
1261,47.76643991470337,39.032752990722656,200000
1281,48.45992422103882,39.110225677490234,200000
1301,49.14937496185303,39.05859375,200000
1321,49.825658321380615,39.15486145019531,200000
1341,50.54859805107117,39.1184196472168,200000
1362,51.27182126045227,39.08317184448242,200000
1383,51.9956750869751,39.09949493408203,200000
1404,52.74992632865906,39.17430114746094,200000
1426,53.5046763420105,39.16299819946289,200000
1448,54.26027584075928,39.220428466796875,200000
1470,55.04553937911987,39.17604064941406,200000
1493,55.83112907409668,39.2314567565918,200000
1516,56.61657929420471,39.20097351074219,200000
1539,57.449074506759644,39.23411178588867,200000
1563,58.26672124862671,39.1687126159668,200000
1587,59.11566710472107,39.2255973815918,200000
1612,59.98011875152588,39.23979187011719,200000
1637,60.82835364341736,39.153038024902344,200000
1662,61.70889759063721,39.291053771972656,200000
1688,62.6050705909729,39.27056884765625,200000
1714,63.51621055603027,39.249176025390625,200000
1741,64.44276595115662,39.24370193481445,200000
1768,65.40200543403625,39.222225189208984,200000
1796,66.34516024589539,39.243812561035156,200000
1824,67.33518838882446,39.251625061035156,200000
1853,68.32467198371887,39.32722854614258,200000
1882,69.34785485267639,39.32136917114258,200000
1912,70.40066742897034,39.315673828125,200000
1943,72.31693601608276,39.29874801635742,200000
