iteration,time,psnr,n
0,4.382489204406738,19.956628799438477,200000
8,4.665855407714844,23.146366119384766,200000
17,4.949503660202026,27.433650970458984,200000
26,5.247737169265747,30.729736328125,200000
35,5.545925855636597,32.86796951293945,200000
44,5.844403505325317,34.08941650390625,200000
53,6.143341302871704,34.8700065612793,200000
62,6.441612243652344,35.463375091552734,200000
71,6.739967584609985,35.962608337402344,200000
80,7.0543084144592285,36.36815643310547,200000
89,7.35320782661438,36.70359802246094,200000
98,7.651913404464722,36.981651306152344,200000
107,7.981825351715088,37.23102951049805,200000
116,8.28023099899292,37.43032455444336,200000
125,8.593889713287354,37.600215911865234,200000
134,8.907603979110718,37.749366760253906,200000
143,9.23697304725647,37.86302185058594,200000
152,9.55083966255188,37.97608947753906,200000
161,9.864790439605713,38.0583381652832,200000
170,10.22578501701355,38.154685974121094,200000
180,10.57139277458191,38.224647521972656,200000
190,10.932600259780884,38.300201416015625,200000
200,11.294190883636475,38.36056900024414,200000
210,11.639835596084595,38.41818618774414,200000
220,12.017032384872437,38.46900177001953,200000
230,12.37951397895813,38.5091438293457,200000
240,12.740428924560547,38.5595817565918,200000
250,13.101489543914795,38.59309005737305,200000
260,13.463071823120117,38.63395309448242,200000
270,13.823835849761963,38.66770935058594,200000
280,14.200854301452637,38.6959342956543,200000
290,14.578256845474243,38.73074722290039,200000
300,14.939586400985718,38.74904251098633,200000
310,15.316756248474121,38.78129577636719,200000
320,15.677794218063354,38.805660247802734,200000
330,16.08623242378235,38.835662841796875,200000
341,16.479254722595215,38.85530090332031,200000
352,16.9031982421875,38.87938690185547,200000
363,17.311509609222412,38.90660095214844,200000
374,17.71956467628479,38.926612854003906,200000
385,18.12801957130432,38.9412727355957,200000
396,18.5517156124115,38.950645446777344,200000
407,18.96124792098999,38.978363037109375,200000
418,19.369812726974487,39.005741119384766,200000
429,19.793740272521973,39.01085662841797,200000
440,20.202179431915283,39.03296661376953,200000
451,20.610821962356567,39.04601287841797,200000
462,21.065922498703003,39.0627555847168,200000
474,21.522406101226807,39.07887268066406,200000
486,21.977031230926514,39.087318420410156,200000
498,22.447725534439087,39.11073684692383,200000
510,22.886971473693848,39.11167907714844,200000
522,23.358249187469482,39.141761779785156,200000
534,23.813737154006958,39.135562896728516,200000
546,24.269273042678833,39.156333923339844,200000
558,24.724571466445923,39.16962814331055,200000
570,25.195725679397583,39.174346923828125,200000
582,25.650604009628296,39.19169235229492,200000
594,26.15377950668335,39.199134826660156,200000
607,26.656044721603394,39.22564697265625,200000
620,27.159589052200317,39.2260856628418,200000
633,27.662903308868408,39.234352111816406,200000
646,28.15089988708496,39.24471664428711,200000
659,28.654528379440308,39.26362228393555,200000
672,29.142443656921387,39.26102828979492,200000
685,29.645610809326172,39.275413513183594,200000
698,30.150975227355957,39.28898239135742,200000
711,30.670730113983154,39.28912353515625,200000
725,31.220457792282104,39.30616760253906,200000
739,31.753989458084106,39.317020416259766,200000
753,32.287540912628174,39.3285026550293,200000
767,32.838943004608154,39.345481872558594,200000
781,33.37350654602051,39.34477996826172,200000
795,33.908743143081665,39.35295486450195,200000
809,34.49164938926697,39.324134826660156,200000
824,35.072651386260986,39.361263275146484,200000
839,35.65329122543335,39.36498260498047,200000
854,36.235675573349,39.37535095214844,200000
869,36.81707215309143,39.36246871948242,200000
884,37.40077519416809,39.378543853759766,200000
899,38.00257420539856,39.405662536621094,200000
914,38.63169527053833,39.425392150878906,200000
930,39.26134014129639,39.414588928222656,200000
946,39.87508797645569,39.43317413330078,200000
962,40.51743173599243,39.44824981689453,200000
978,41.132516384124756,39.40776824951172,200000
994,41.77782416343689,39.426597595214844,200000
1010,42.43797254562378,39.43754196166992,200000
1027,43.09937024116516,39.41490936279297,200000
1044,43.759313344955444,39.44626235961914,200000
1061,44.42076516151428,39.42631530761719,200000
1078,45.081783056259155,39.44972610473633,200000
1095,45.789358377456665,39.4678955078125,200000
1113,46.482513666152954,39.45758819580078,200000
1131,47.176143407821655,39.459835052490234,200000
1149,47.883960008621216,39.49544906616211,200000
1167,48.57697057723999,39.484962463378906,200000
1185,49.31713557243347,39.4849739074707,200000
1204,50.05626559257507,39.47092056274414,200000
1223,50.7830708026886,39.53392791748047,200000
1242,51.52601981163025,39.50831985473633,200000
1261,52.30184555053711,39.50265121459961,200000
1281,53.07545852661133,39.517154693603516,200000
1301,53.84954905509949,39.576934814453125,200000
1321,54.63982844352722,39.57009506225586,200000
1341,55.44580388069153,39.577972412109375,200000
1362,56.26778864860535,39.585933685302734,200000
1383,57.091713666915894,39.5943489074707,200000
1404,57.94454550743103,39.6175651550293,200000
1426,58.79854869842529,39.56903076171875,200000
1448,59.65222430229187,39.560646057128906,200000
1470,60.55432319641113,39.64106750488281,200000
1493,61.45198106765747,39.616817474365234,200000
1516,62.34201955795288,39.61360549926758,200000
1539,63.2764949798584,39.622703552246094,200000
1563,64.22536277770996,39.63523483276367,200000
1587,65.20756697654724,39.60002517700195,200000
1612,66.18851375579834,39.665313720703125,200000
1637,67.16866874694824,39.63800811767578,200000
1662,68.18863821029663,39.64216613769531,200000
1688,69.2180585861206,39.679893493652344,200000
1714,70.27176403999329,39.689720153808594,200000
1741,71.33272552490234,39.66767120361328,200000
1768,72.42423892021179,39.646121978759766,200000
1796,73.53545904159546,39.66616439819336,200000
1824,74.66890811920166,39.61105728149414,200000
1853,75.80646753311157,39.653411865234375,200000
1882,76.99090051651001,39.72209548950195,200000
1912,78.20238494873047,39.719181060791016,200000
1943,80.41783499717712,39.70323944091797,200000
