iteration,time,psnr,n
0,4.354694604873657,9.32457447052002,200000
8,4.599690198898315,11.070536613464355,200000
17,4.828016757965088,13.98852825164795,200000
26,5.071598291397095,17.520160675048828,200000
35,5.331343650817871,22.02781867980957,200000
44,5.625157356262207,26.354761123657227,200000
53,5.9137961864471436,29.65044403076172,200000
62,6.2085652351379395,31.67938995361328,200000
71,6.506051540374756,32.797752380371094,200000
80,6.796092748641968,33.47407150268555,200000
89,7.064079284667969,33.95521545410156,200000
98,7.380532264709473,34.345863342285156,200000
107,7.676275968551636,34.667144775390625,200000
116,7.996300458908081,34.95906448364258,200000
125,8.304612636566162,35.217735290527344,200000
134,8.588383913040161,35.44424057006836,200000
143,8.872982263565063,35.646148681640625,200000
152,9.172996759414673,35.825958251953125,200000
161,9.472294569015503,35.97671127319336,200000
170,9.787535905838013,36.13878631591797,200000
180,10.118804693222046,36.27320861816406,200000
190,10.434719324111938,36.401283264160156,200000
200,10.765785217285156,36.51551055908203,200000
210,11.082353591918945,36.61894989013672,200000
220,11.413758754730225,36.69580841064453,200000
230,11.730955362319946,36.80857849121094,200000
240,12.061158657073975,36.88422775268555,200000
250,12.39307165145874,36.95663070678711,200000
260,12.747378826141357,37.038936614990234,200000
270,13.070738554000854,37.10507583618164,200000
280,13.387128829956055,37.17018508911133,200000
290,13.752460956573486,37.225433349609375,200000
300,14.0682692527771,37.277488708496094,200000
310,14.40665078163147,37.345943450927734,200000
320,14.767664909362793,37.39488983154297,200000
330,15.154072046279907,37.443634033203125,200000
341,15.518970727920532,37.484840393066406,200000
352,15.879744291305542,37.542423248291016,200000
363,16.243326425552368,37.58610153198242,200000
374,16.606343746185303,37.630653381347656,200000
385,16.983218908309937,37.637306213378906,200000
396,17.34752345085144,37.72022247314453,200000
407,17.71174645423889,37.720359802246094,200000
418,18.075613975524902,37.77882766723633,200000
429,18.438684940338135,37.820343017578125,200000
440,18.81886100769043,37.808353424072266,200000
451,19.198456287384033,37.87479019165039,200000
462,19.59338665008545,37.92008972167969,200000
474,19.988967180252075,37.928470611572266,200000
486,20.40004849433899,37.98567581176758,200000
498,20.79598093032837,38.020511627197266,200000
510,21.2241632938385,38.025047302246094,200000
522,21.669703722000122,38.03631591796875,200000
534,22.0975444316864,38.038604736328125,200000
546,22.53930139541626,38.06888198852539,200000
558,22.951188564300537,38.14768600463867,200000
570,23.395578861236572,38.15057373046875,200000
582,23.823518991470337,38.04014587402344,200000
594,24.30909299850464,38.21438217163086,200000
607,24.773882389068604,38.11111068725586,200000
620,25.249377727508545,38.26728057861328,200000
633,25.708439826965332,38.21566390991211,200000
646,26.152878761291504,38.270320892333984,200000
659,26.612603664398193,38.31644058227539,200000
672,27.05780863761902,38.29023742675781,200000
685,27.51624584197998,38.36933135986328,200000
698,27.976690530776978,38.3254280090332,200000
711,28.484194040298462,38.36157989501953,200000
725,28.96151638031006,38.41587448120117,200000
739,29.453163862228394,38.41090393066406,200000
753,29.928155422210693,38.43279266357422,200000
767,30.421284198760986,38.49443054199219,200000
781,30.897925853729248,38.459693908691406,200000
795,31.385512590408325,38.46760559082031,200000
809,31.89640164375305,38.42146682739258,200000
824,32.39717364311218,38.56308364868164,200000
839,32.92065191268921,38.53336715698242,200000
854,33.424572706222534,38.36384963989258,200000
869,33.94791913032532,38.60237121582031,200000
884,34.45139122009277,38.49406814575195,200000
899,34.97681713104248,38.593624114990234,200000
914,35.51227903366089,38.645931243896484,200000
930,36.06841206550598,38.56075668334961,200000
946,36.60473132133484,38.60491180419922,200000
962,37.15842366218567,38.60578918457031,200000
978,37.69617676734924,38.65382766723633,200000
994,38.25699305534363,38.688350677490234,200000
1010,38.8302857875824,38.71230697631836,200000
1027,39.417824029922485,38.67945098876953,200000
1044,39.98592400550842,38.77205276489258,200000
1061,40.577473878860474,38.75826644897461,200000
1078,41.15621256828308,38.778099060058594,200000
1095,41.773895025253296,38.81584548950195,200000
1113,42.37670922279358,38.83442306518555,200000
1131,42.988011598587036,38.60238265991211,200000
1149,43.603759765625,38.833473205566406,200000
1167,44.22040152549744,38.779415130615234,200000
1185,44.86777114868164,38.842124938964844,200000
1204,45.515230655670166,38.8050422668457,200000
1223,46.162134408950806,38.809669494628906,200000
1242,46.81088876724243,38.77954864501953,200000
1261,47.50575089454651,38.82748031616211,200000
1281,48.18596315383911,38.926082611083984,200000
1301,48.86540627479553,38.88941955566406,200000
1321,49.5602662563324,38.96149826049805,200000
1341,50.27960538864136,38.92463684082031,200000
1362,50.9815833568573,38.98566436767578,200000
1383,51.70757269859314,38.96562194824219,200000
1404,52.44921064376831,38.95101547241211,200000
1426,53.205907344818115,38.9847412109375,200000
1448,53.946985483169556,39.02342224121094,200000
1470,54.73600649833679,38.931610107421875,200000
1493,55.50931406021118,38.87403869628906,200000
1516,56.29776382446289,39.0040168762207,200000
1539,57.10211110115051,39.041038513183594,200000
1563,57.92138624191284,38.971553802490234,200000
1587,58.77441096305847,39.09028625488281,200000
1612,59.62533450126648,39.04201889038086,200000
1637,60.46430253982544,39.01264572143555,200000
1662,61.34710192680359,39.10068893432617,200000
1688,62.230581760406494,38.95683670043945,200000
1714,63.14643907546997,39.013675689697266,200000
1741,64.06282496452332,39.112403869628906,200000
1768,65.01021933555603,39.03467559814453,200000
1796,65.95870661735535,39.029903411865234,200000
1824,66.9398934841156,39.06612014770508,200000
1853,67.93446612358093,39.060203552246094,200000
1882,68.95894241333008,39.090972900390625,200000
1912,70.003014087677,39.182579040527344,200000
1943,71.91450214385986,39.17552185058594,200000
