forward only:
----------------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  
                                                                                                Name     Self CUDA   Self CUDA %    CUDA total  CUDA time avg    # of Calls  
----------------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  
void cub::CUB_200200_890_NS::DeviceRadixSortHistogramKernel<cub::CUB_200200_890_NS::DeviceRadixSo...       5.699ms         0.17%       5.699ms      29.376us           194  
void at::native::elementwise_kernel<128, 2, at::native::gpu_kernel_impl<at::native::direct_copy_k...       5.201ms         0.16%       5.201ms      26.809us           194  
void at_cuda_detail::cub::DeviceSelectSweepKernel<at_cuda_detail::cub::DispatchSelectIf<at_cuda_d...       5.115ms         0.15%       5.115ms      26.366us           194  
void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<long, long, long, at:...       4.655ms         0.14%       4.655ms      11.997us           388  
void (anonymous namespace)::elementwise_kernel_with_index<int, at::native::arange_cuda_out(c10::S...       4.156ms         0.13%       4.156ms       5.356us           776  
void at::native::vectorized_elementwise_kernel<4, at::native::BUnaryFunctor<long, long, long, at:...       4.061ms         0.12%       4.061ms      10.466us           388  
----------------------------------------------------------------------------------------------------  ------------  ------------  ------------  ------------  ------------ 



